name,mean,hdi_low,hdi_high,n_obs,is_low_obs
Pixtral-12B-2409,-2.166217420470174,-3.1531898842707675,-1.1881303656106679,2,True
gpt-3.5-turbo-0613,-2.1411705477077447,-2.8092880571200443,-1.61025448217169,2,True
Llama-3.2-90B-Vision-Instruct,-2.092413224767067,-3.1108566429888596,-1.1091158954691311,2,True
Llama-2-13b-chat,-1.9988881908142089,-2.4590458915971083,-1.580177752158851,2,True
gemma-3-4b-it,-1.933628941490642,-2.3799390446605204,-1.5503709728583621,3,True
Meta-Llama-3-8B-Instruct,-1.9331853167420672,-2.3855602812943633,-1.5155650938980922,2,True
gemma-3-12b-it,-1.906330257114719,-2.3351975562843346,-1.5409380884121662,3,True
qwen2.5-7b-instruct,-1.8673292971911766,-2.270073660789803,-1.50224259543213,3,True
gemma-2-27b,-1.8072839446328404,-2.2272846657432273,-1.4413874720430297,2,True
Llama-3.1-8B-Instruct,-1.8017149065824145,-2.224674748909097,-1.444452768823055,3,True
c4ai-command-r-08-2024,-1.7994073506900636,-2.2075788633908338,-1.4305022916183976,2,True
gpt-4.1-nano-2025-04-14,-1.771485833455575,-2.185820814581013,-1.4280995334106987,4,False
ministral-3b-2410,-1.7509183406710158,-2.1729491948405735,-1.3789662734757524,2,True
gpt-3.5-turbo-0125,-1.744023559916827,-2.14135276216046,-1.3902179326191868,4,False
claude-3-haiku-20240307,-1.6867742877221867,-2.0907787901797183,-1.3184895142817386,2,True
c4ai-command-r-plus-08-2024,-1.6683625827941433,-2.093543877459511,-1.2887203011234372,2,True
qwen3-14b_none,-1.5937299874756405,-2.798047485398097,-0.6004759567492567,1,True
qwen3-8b_none,-1.5833683685985969,-2.77111424155842,-0.6263258165040934,1,True
gemma-3-27b-it,-1.5653168117699034,-1.950259970105113,-1.2080901201360232,4,False
gemini-2.0-flash-lite,-1.5579513460345276,-1.9799417294763146,-1.1602574887387231,2,True
gpt-4o-mini-2024-07-18,-1.487255929931316,-1.8558216968103443,-1.1441054736088634,5,False
gemini-1.5-flash-002,-1.4449321855207988,-1.8357198742818819,-1.0293481277245413,3,True
claude-3-5-haiku-20241022,-1.4094617638782676,-1.8513766499437159,-0.9952730432569569,2,True
qwen3-8b,-1.3594051840352201,-1.7395759988369344,-1.0158796432373671,3,True
gemini-1.5-pro-001,-1.3387408133782936,-1.7416114575754786,-0.9346786496931746,2,True
Llama-4-Scout-17B-16E-Instruct,-1.3303200737344878,-1.6946932927770337,-1.01256590151818,3,True
claude-sonnet-4-20250514_32K,-1.3171355813651435,-2.884300001726861,0.5089275812367068,1,True
gpt-4-turbo,-1.2865894941412035,-1.6767064264385885,-0.9300140098814149,2,True
c4ai-command-a-03-2025,-1.2844830691721363,-1.6639985659014511,-0.9255527467859714,2,True
gpt-oss-120b_medium,-1.273747844755259,-2.4636344038217124,-0.3385660885043748,1,True
gpt-5-nano-2025-08-07_high,-1.2369820844051806,-1.6244753264836287,-0.8959473787784051,4,False
gpt-4-turbo-2024-04-09,-1.223198347778571,-1.6479993471509162,-0.8724056841901296,3,True
Llama-3.1-70B-Instruct,-1.2014535723409543,-1.5808990316152978,-0.8311086884114931,2,True
claude-3-opus-20240229,-1.1692473393466976,-1.4568936300757822,-0.9111862694984872,6,False
Qwen3-30B-A3B,-1.1608682557656105,-1.5383467632495407,-0.7958619360829773,3,True
magistral-small-2509,-1.1575109977227198,-1.5682118011593689,-0.7386100936773493,2,True
Llama-3.3-70B-Instruct,-1.1571177580808558,-1.5442583268285262,-0.7735828744129805,2,True
mistral-medium-2505,-1.1506836589780642,-1.55345807631123,-0.7392035215042875,2,True
qwen2.5-72b-instruct,-1.1437088379320963,-1.5169891662982213,-0.7707453683976173,2,True
Llama-4-Maverick-17B-128E-Instruct,-1.1405280806326263,-1.4628575830701085,-0.8255588860848256,6,False
gpt-5-nano-2025-08-07_medium,-1.1362822161256125,-1.8764047707116527,-0.385324822057148,2,True
gpt-5-nano-2025-08-07_minimal,-1.134434490290952,-2.155885924974875,-0.3547062685772112,2,True
deepseek-chat,-1.1331044623652908,-1.5060268982703227,-0.7727258889909363,3,True
Qwen3-32B_none,-1.132193600767228,-2.3623687790851045,-0.14756052050443874,1,True
