name,mean,hdi_low,hdi_high,n_obs,is_low_obs
Pixtral-12B-2409,112.85845740600178,87.84446011338875,126.83854628530328,2,True
gpt-3.5-turbo-0613,112.89945971924881,90.30526345949713,123.41792464999081,2,True
Llama-3.2-90B-Vision-Instruct,113.76589531026382,88.36242059111939,128.0224675544315,2,True
Llama-2-13b-chat,114.84588481220814,95.20807649101559,123.71918458965344,2,True
Meta-Llama-3-8B-Instruct,115.71554528532718,96.24052817720084,124.34624561322796,2,True
gemma-3-4b-it,115.80488774078935,96.59491532757671,124.13083314454833,3,True
gemma-3-12b-it,116.19484264237657,97.12702435597001,124.27033285187355,3,True
qwen2.5-7b-instruct,116.61007574432614,98.71225335126427,124.89070726930363,3,True
gemma-2-27b,117.42623996110339,99.50421038732792,125.3686378479056,2,True
c4ai-command-r-08-2024,117.45814948991568,100.1140341599545,125.48067284689131,2,True
Llama-3.1-8B-Instruct,117.51398184866301,99.49999199506446,125.50183551337066,3,True
gpt-4.1-nano-2025-04-14,117.92370161782357,100.43254747150161,125.75973439894227,4,False
ministral-3b-2410,118.22613504274202,100.88346721300294,125.97676866307901,2,True
gpt-3.5-turbo-0125,118.22798016064435,102.00743190390352,125.98761823508936,4,False
claude-3-haiku-20240307,119.03826533162268,102.30534564665574,126.58926251576213,2,True
c4ai-command-r-plus-08-2024,119.29292089497736,102.57594671346563,126.79320999026928,2,True
qwen3-14b_none,120.15198709050935,96.5126028213717,134.10544976368962,1,True
qwen3-8b_none,120.44306912282332,96.82231664337765,133.8538723115652,1,True
gemma-3-27b-it,120.63425045717585,105.20622268223572,127.83542726350122,4,False
gemini-2.0-flash-lite,120.71192019641563,105.66661496619022,128.42958198043655,2,True
gpt-4o-mini-2024-07-18,121.61268603590848,107.18891959255818,128.58633286987924,5,False
gemini-1.5-flash-002,122.23286917848057,108.10901950889732,129.71824377389788,3,True
claude-3-5-haiku-20241022,122.62649386846887,108.45644950238987,130.08547228784064,2,True
qwen3-8b,123.33986018726519,110.11772813585173,129.93140854187902,3,True
gemini-1.5-pro-001,123.62775809047189,110.16921626958394,130.84020869668456,2,True
Llama-4-Scout-17B-16E-Instruct,123.68642491305984,110.52077025632893,130.18844517997988,3,True
claude-sonnet-4-20250514_32K,123.92193178656018,96.11263872347945,148.4678640873291,1,True
gpt-oss-120b_medium,124.15127686285444,102.63471524926763,137.2991816127256,1,True
gpt-4-turbo,124.28123528464202,111.20883025782223,130.9184421429027,2,True
c4ai-command-a-03-2025,124.35855711019211,111.26404521672707,130.83669287817125,2,True
gpt-5-nano-2025-08-07_high,124.89721147663403,111.91181573991211,131.3132049409969,4,False
gpt-4-turbo-2024-04-09,125.03668024908956,111.86987909515535,131.90488220830423,3,True
Llama-3.1-70B-Instruct,125.40734567504977,112.74979927596017,132.16546508611262,2,True
claude-3-opus-20240229,125.79623249611316,114.18753177864149,131.81183669707107,6,False
Qwen3-30B-A3B,125.92376060388816,114.24640658525824,132.21321044866602,3,True
Llama-3.3-70B-Instruct,125.96245506902973,114.19822534649948,132.73022684313105,2,True
magistral-small-2509,126.0148159750762,113.52466065074091,132.89511271338208,2,True
mistral-medium-2505,126.12317806666857,114.02469649825402,132.74296316042611,2,True
gpt-5-nano-2025-08-07_minimal,126.12357170197869,107.3882547771164,137.30336268916227,2,True
qwen2.5-72b-instruct,126.15018574159963,114.06504745316187,132.68044535399986,2,True
Llama-4-Maverick-17B-128E-Instruct,126.18477060991486,115.0322397334779,132.2534900056055,6,False
gemini-3-flash-preview_unknown,126.19823261670626,105.18245270556588,141.3013211415363,1,True
deepseek-chat,126.2739677366445,114.47432242048036,132.61477747986893,3,True
gpt-5-nano-2025-08-07_medium,126.30793016844868,110.71192186912376,137.2506714326226,2,True
Qwen3-30B-A3B_none,126.31061077251854,104.39595864015752,140.34277720152974,1,True
Qwen3-32B_none,126.31112140470304,104.95851890611029,140.2107202040318,1,True
gpt-4o-2024-05-13,126.37096946903112,115.56816054337222,132.15929298084328,6,False
gemini-2.5-flash-lite-preview-06-17_thinking,126.63070453472432,115.2863410564526,132.79425305755376,3,True
gpt-oss-20b_high,127.57134397726144,116.48695093597249,133.65076229363638,3,True
DeepSeek-V3-0324,127.70330931277108,116.75106266466028,133.85877299770777,2,True
gpt-4-0613,127.88778690859877,117.50610787122544,134.3962740747344,4,False
qwen3-14b,128.2029313679984,117.32536000962519,134.6444966910848,3,True
mistral-large-2512,128.30624693393378,118.05258117819253,134.58317327877862,2,True
gpt-oss-20b_low,128.57575621596467,106.59261406539643,143.36021798774823,1,True
Qwen3-32B,129.49366350067223,119.63501152603615,135.6038529451474,3,True
claude-3-5-sonnet-20241022,130.0,130.0,130.0,3,True
claude-sonnet-4-20250514,130.06476940397292,117.18029158153534,139.81492390301796,3,True
kimi-k2.5_unknown,130.11976980909674,110.1875827745431,144.61367598894662,1,True
gemini-2.0-flash-001,130.29256206061672,120.44303617217642,137.05578385921308,4,False
gpt-4o-2024-08-06,130.37449611375274,113.73164410321868,143.41241380947676,2,True
qwen3-30b-a3b-instruct-2507,130.56302023326924,120.86407112610186,136.869311421684,3,True
mistral-medium-2508,130.66354858703914,121.16732778433882,136.94689409775322,3,True
gpt-5.4-nano-2026-03-17_low,130.6720343375823,113.57411855369482,141.98898024804924,2,True
o3-mini-2025-01-31_high,131.0981476805435,122.30571230981214,137.2900297397594,4,False
grok-4.3_unknown,131.20942357315616,107.48308324985828,149.77149777017243,1,True
gpt-4.1-mini-2025-04-14,131.21246722607384,122.75406586907401,136.87401441295603,7,False
qwen3-30b-a3b-thinking-2507,131.21940605018528,122.11044447083817,137.39855485536552,3,True
gpt-5.4-nano-2026-03-17_medium,131.35822082842458,111.86978922830879,144.7829345108217,1,True
claude-3-7-sonnet-20250219,131.6812477223719,119.89809698064282,142.30617251731292,3,True
claude-opus-4-20250514_32K,131.76402279023324,106.84807603186499,156.82603924607204,1,True
gpt-oss-120b_high,131.76554058264696,122.64327368277735,137.40690888112977,4,False
gpt-oss-20b_medium,131.79038094960066,110.77073080175455,146.30376575524872,1,True
gpt-5.4-nano-2026-03-17_none,131.80890391015365,115.72484920983634,143.20383102887467,2,True
MiniMax-M3_none,131.9167988306778,115.01903991292436,143.4295393042431,2,True
gemini-2.0-pro-exp-02-05,132.06253817858757,120.21494356160397,142.60057544123868,2,True
mistral-small-2603,132.1573800852064,123.15197715107608,138.63856405213878,2,True
claude-opus-4-20250514,132.26237501232646,120.12719091295189,142.96570218497368,2,True
o3-mini-2025-01-31_medium,132.4806568106559,119.695664006379,143.96233911482383,2,True
claude-3-5-sonnet-20240620,132.60356784371373,124.83044198581632,138.02836619052246,4,False
claude-opus-4-6_low,132.66809342164402,113.69459645573478,145.69432292558673,1,True
gpt-5.4-mini-2026-03-17_medium,132.72240661882472,113.05480580275925,145.78560671384335,1,True
qwen3.5-9B,132.8187082047389,124.2350769909422,139.19990213759888,3,True
gemma-4-31b-it_minimal,132.9898675993744,113.22199383002979,147.8734148736309,1,True
gpt-4o-2024-11-20,132.99735809128222,117.23242510226306,146.868299915689,2,True
gpt-5.4-mini-2026-03-17_none,133.04821049440375,116.86760263235867,144.35456131834025,2,True
claude-sonnet-4-6_high,133.08714619308512,111.42997328340311,147.6639908378275,1,True
qwen3.6-27b_none,133.6914667221078,117.04345754793546,145.03392960952388,2,True
gpt-4.1-2025-04-14,133.98635184169385,126.65545727419084,139.9933717713839,7,False
gemma-4-26b-a4b_minimal,134.024773148525,113.24134437985406,149.49196171623524,1,True
gpt-5-mini-2025-08-07_medium,134.0626300535792,121.24541544110629,142.58318719267413,2,True
gpt-5.4-mini-2026-03-17_low,134.06770150943044,114.54708619788802,147.36934829748628,1,True
o3-mini-2025-01-31_low,134.17673405361884,114.08076554337651,149.57750597060985,1,True
DeepSeek-V3.1,134.5578746433634,123.41155775158956,144.99861157601077,2,True
glm-5_unknown,134.6150241920015,116.74198591576872,149.8262136031316,1,True
gpt-5.1-2025-11-13_none,134.75416804917785,121.16659220057191,146.21570095829875,3,True
